Date,Close
2012-01-03,99.31220245361328
2012-01-04,99.46797180175781
2012-01-05,99.73283386230469
2012-01-06,99.47578430175781
2012-01-09,99.7172622680664
2012-01-10,100.58184814453125
2012-01-11,100.63636779785156
2012-01-12,100.87786102294922
2012-01-13,100.35594940185547
2012-01-17,100.74539947509766
2012-01-18,101.85926055908203
2012-01-19,102.39671325683594
2012-01-20,102.77841186523438
2012-01-23,102.51358032226562
2012-01-24,102.39671325683594
2012-01-25,103.25355529785156
2012-01-26,102.72386169433594
2012-01-27,102.67716979980469
2012-01-30,102.32662963867188
2012-01-31,102.28768920898438
2012-02-01,103.18345642089844
2012-02-02,103.34698486328125
2012-02-03,104.79580688476562
2012-02-06,104.72570037841797
2012-02-07,104.99053192138672
2012-02-08,105.30209350585938
2012-02-09,105.43451690673828
2012-02-10,104.65555572509766
2012-02-13,105.43451690673828
2012-02-14,105.30209350585938
2012-02-15,104.81134796142578
2012-02-16,105.97193908691406
2012-02-17,106.25236511230469
2012-02-21,106.29913330078125
2012-02-22,105.95638275146484
2012-02-23,106.4237289428711
2012-02-24,106.65740966796875
2012-02-27,106.83656311035156
2012-02-28,107.14807891845703
2012-02-29,106.7275390625
2012-03-01,107.28055572509766
2012-03-02,106.95339965820312
2012-03-05,106.51718139648438
2012-03-06,104.95940399169922
2012-03-07,105.69154357910156
2012-03-08,106.74310302734375
2012-03-09,107.15596008300781
2012-03-12,107.1636962890625
2012-03-13,109.0954360961914
2012-03-14,108.97857666015625
2012-03-15,109.60953521728516
2012-03-16,109.76126861572266
2012-03-19,110.19157409667969
2012-03-20,109.8708267211914
2012-03-21,109.69087219238281
2012-03-22,108.90072631835938
2012-03-23,109.25275421142578
2012-03-26,110.78617095947266
2012-03-27,110.44192504882812
2012-03-28,109.89427185058594
2012-03-29,109.7065200805664
2012-03-30,110.16027069091797
2012-04-02,110.9660873413086
2012-04-03,110.5123291015625
2012-04-04,109.41707611083984
2012-04-05,109.3622817993164
2012-04-09,108.13404083251953
2012-04-10,106.31902313232422
2012-04-11,107.17957305908203
2012-04-12,108.57996368408203
2012-04-13,107.28911590576172
2012-04-16,107.21869659423828
2012-04-17,108.80686950683594
2012-04-18,108.43914794921875
2012-04-19,107.74284362792969
2012-04-20,107.92283630371094
2012-04-23,107.01531219482422
2012-04-24,107.422119140625
2012-04-25,108.89289093017578
2012-04-26,109.6517562866211
2012-04-27,109.83168029785156
2012-04-30,109.42491149902344
2012-05-01,110.10549926757812
2012-05-02,109.77693939208984
2012-05-03,108.93983459472656
2012-05-04,107.17957305908203
2012-05-07,107.25782012939453
2012-05-08,106.8275375366211
2012-05-09,106.19385528564453
2012-05-10,106.41290283203125
2012-05-11,106.09215545654297
2012-05-14,104.91868591308594
2012-05-15,104.3162612915039
2012-05-16,103.9172592163086
2012-05-17,102.37610626220703
2012-05-18,101.49983978271484
2012-05-21,103.24446868896484
2012-05-22,103.42439270019531
2012-05-23,103.47917175292969
2012-05-24,103.68253326416016
2012-05-25,103.34614562988281
2012-05-29,104.59785461425781
2012-05-30,103.0801773071289
2012-05-31,102.85327911376953
2012-06-01,100.26377868652344
2012-06-04,100.21685028076172
2012-06-05,100.97571563720703
2012-06-06,103.24446868896484
2012-06-07,103.30704498291016
2012-06-08,104.1285400390625
2012-06-11,102.80636596679688
2012-06-12,103.9876480102539
2012-06-13,103.32269287109375
2012-06-14,104.41795349121094
2012-06-15,105.48587036132812
2012-06-18,105.69033813476562
2012-06-19,106.71256256103516
2012-06-20,106.53961944580078
2012-06-21,104.14904022216797
2012-06-22,104.9511489868164
2012-06-25,103.26827239990234
2012-06-26,103.78726196289062
2012-06-27,104.72306823730469
2012-06-28,104.42424011230469
2012-06-29,107.02716064453125
2012-07-02,107.34957885742188
2012-07-03,108.05733489990234
2012-07-05,107.56980895996094
2012-07-06,106.54749298095703
2012-07-09,106.413818359375
2012-07-10,105.48587036132812
2012-07-11,105.50163269042969
2012-07-12,104.9904556274414
2012-07-13,106.751953125
2012-07-16,106.50029754638672
2012-07-17,107.23165130615234
2012-07-18,108.02591705322266
2012-07-19,108.30899810791016
2012-07-20,107.31817626953125
2012-07-23,106.23291015625
2012-07-24,105.32071685791016
2012-07-25,105.34429931640625
2012-07-26,107.08223724365234
2012-07-27,109.05604553222656
2012-07-30,109.05604553222656
2012-07-31,108.2933120727539
2012-08-01,108.19889831542969
2012-08-02,107.45183563232422
2012-08-03,109.58296203613281
2012-08-06,109.7952651977539
2012-08-07,110.34574127197266
2012-08-08,110.47940826416016
2012-08-09,110.57381439208984
2012-08-10,110.75465393066406
2012-08-13,110.69963073730469
2012-08-14,110.71533966064453
2012-08-15,110.84114074707031
2012-08-16,111.6589584350586
2012-08-17,111.80842590332031
2012-08-20,111.81626892089844
2012-08-21,111.47814178466797
2012-08-22,111.52533721923828
2012-08-23,110.61310577392578
2012-08-24,111.28150939941406
2012-08-27,111.30511474609375
2012-08-28,111.1950454711914
2012-08-29,111.28150939941406
2012-08-30,110.47940826416016
2012-08-31,111.00633239746094
2012-09-04,110.90404510498047
2012-09-05,110.80970001220703
2012-09-06,113.05882263183594
2012-09-07,113.4991683959961
2012-09-10,112.85427856445312
2012-09-11,113.16885375976562
2012-09-12,113.54634857177734
2012-09-13,115.27637481689453
2012-09-14,115.7875747680664
2012-09-17,115.39432525634766
2012-09-18,115.29994201660156
2012-09-19,115.36288452148438
2012-09-20,115.37074279785156
2012-09-21,115.322509765625
2012-09-24,115.14855194091797
2012-09-25,113.92321014404297
2012-09-26,113.28277587890625
2012-09-27,114.35010528564453
2012-09-28,113.82039642333984
2012-10-01,114.120849609375
2012-10-02,114.23944091796875
2012-10-03,114.70588684082031
2012-10-04,115.52809143066406
2012-10-05,115.5359878540039
2012-10-08,115.14068603515625
2012-10-09,114.00221252441406
2012-10-10,113.27490997314453
2012-10-11,113.33818817138672
2012-10-12,112.96656799316406
2012-10-15,113.90736389160156
2012-10-16,115.06160736083984
2012-10-17,115.58341217041016
2012-10-18,115.28299713134766
2012-10-19,113.36187744140625
2012-10-22,113.37767028808594
2012-10-23,111.80442810058594
2012-10-24,111.48820495605469
2012-10-25,111.81231689453125
2012-10-26,111.74913024902344
2012-10-31,111.74913024902344
2012-11-01,112.91917419433594
2012-11-02,111.91510009765625
2012-11-05,112.1443862915039
2012-11-06,113.02191925048828
2012-11-07,110.46046447753906
2012-11-08,109.13224029541016
2012-11-09,109.2271499633789
2012-11-12,109.3140869140625
2012-11-13,108.93463134765625
2012-11-14,107.4641342163086
2012-11-15,107.28224182128906
2012-11-16,107.81197357177734
2012-11-19,109.99400329589844
2012-11-20,110.04141998291016
2012-11-21,110.24699401855469
2012-11-23,111.74913024902344
2012-11-26,111.51192474365234
2012-11-27,110.94268798828125
2012-11-28,111.83599090576172
2012-11-29,112.35784149169922
2012-11-30,112.38155364990234
2012-12-03,111.82810974121094
2012-12-04,111.66999816894531
2012-12-05,111.86764526367188
2012-12-06,112.24716186523438
2012-12-07,112.58710479736328
2012-12-10,112.63453674316406
2012-12-11,113.40144348144531
